Title;Year;Rated;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Poster;Internet Movie Database;Rotten Tomatoes;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;Win;Metacritic;Nomination;Oscar
The Last Laugh;1924;Not Rated;05 Jan 1925;90 min;Drama;F.W. Murnau;Carl Mayer;Emil Jannings, Maly Delschaft, Max Hiller;Emil Jannings is the doorman of the elegant Atlantic Hotel. He is proud of his uniform and function, and respected by his community. When he reaches the old age, he has difficulties to carry trucks and suitcases. The hotel manager decides to change his function to washroom attendant. This apparently simple action is enough to destroy him as a human being. He loses his self-respect and when his neighbor finds that he is janitor of the hotel, he loses the respect of his neighbors and friends.;None;Germany;https://m.media-amazon.com/images/M/MV5BOTBjM2M1Y2ItYTVmMi00NmY0LWIyYjEtNzVhM2UzMzNhMzVkXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg;8.01.2010;1;N/A;81;13,566;tt0015064;movie;30 Sep 2008;$94,812;N/A;N/A;DOÐRU;;;;
Master of the House;1925;Not Rated;05 Oct 1925;111 min;Comedy, Drama;Carl Theodor Dreyer;Carl Theodor Dreyer, Svend Rindom;Johannes Meyer, Astrid Holm, Karin Nellemose;Victor Frandsen is a domestic tyrant. His wife Ida has to work as a slave for him and the rest of the family. She rises early to prepare everything for the day, she toils all day long, and she is often up also in the night, doing some sewing to earn extra money for the household. In daytime she is supported by an old woman called Mads, who was Victors' nanny when he was a child. Mads is filled with loathing for Victor's behavior towards his wife, and calls him a brute. She understands that Ida is on the verge of a serious breakdown, and persuades Ida's mother, Mrs. Kryer, to take Ida away. Mads will herself take care of the household and the children for a time. When Victor comes home and finds out that Ida is gone, he gets angry. He asks his daughter, Karen, where her mother is, but she refuses to tell him. She only says that her mother is very ill, and that it will be his fault if she dies. The accusation strikes Victor in his heart, and he sits down, feeling dejected. Karen consoles him, and tells him where her mother is. When Victor arrives at Mrs. Kryer's apartment, looking for his wife, the visiting doctor won't let him in. The doctor tells Victor that Ida has to take a complete rest in the countryside to get well. Victor returns home, broken-hearted, and is now willing to submit himself to Mads' new regime. Mads has become the master of the house, and Victor has to undergo her educational scheme. Step by step he learns to take an active part in the domestic work. Not until he is completely changed, will Mads and Mrs. Kryer let him meet Ida again.;None, Danish;Denmark;https://m.media-amazon.com/images/M/MV5BZDYwZjY0NzctOWUwNC00NTM0LThhYWEtOTA0NWZmNTI5NjZkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg;7.01.2010;1;N/A;71;1,994;tt0015768;movie;N/A;N/A;N/A;N/A;DOÐRU;;;;
Make Way for Tomorrow;1937;Passed;22 Jul 1937;91 min;Comedy, Drama, Romance;Leo McCarey;Viña Delmar, Josephine Lawrence, Helen Leary;Victor Moore, Beulah Bondi, Fay Bainter;"At a family reunion, the Cooper clan find that their parents' home is being foreclosed. ""Temporarily,"" Ma moves in with son George's family, and Pa moves in with daughter Cora. But the parents are like sand in the gears of their middle-aged children's well regulated households. Can the old folks take matters into their own hands?";English;United States;https://m.media-amazon.com/images/M/MV5BNjI0NDUwNTQ0NV5BMl5BanBnXkFtZTgwNzIwOTkzNDE@._V1_SX300.jpg;8.02.2010;1;N/A;82;8,127;tt0029192;movie;23 Feb 2010;N/A;N/A;N/A;DOÐRU;3;;;
A Christmas Carol;1938;Passed;16 Dec 1938;69 min;Drama, Family, Fantasy;Edwin L. Marin;Charles Dickens, Hugo Butler;Reginald Owen, Gene Lockhart, Kathleen Lockhart;On Christmas Eve, an old miser named Ebenezer Scrooge is visited by the spirit of his former partner, Jacob Marley. The deceased partner was in his lifetime as mean and miserly as Scrooge is now and he warns him to change his ways or face the consequences in the afterlife. Scrooge dismisses the apparition but the first of the three ghosts, the Ghost of Christmas Past, visits as promised. Scrooge sees those events in his past life, both happy and sad, that forged his character. The second spirit, the Ghost of Christmas Present, shows him how many currently celebrate Christmas. The Ghost of Christmas yet to Come shows him how he will be remembered once he is gone. To his delight, the spirits complete their visits in one night giving him the opportunity to mend his ways.;English;United States;https://m.media-amazon.com/images/M/MV5BNzNlOTVhY2YtNDJmMS00NDc5LWIxODEtOGVkYzg2NzE0MDJhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg;7.05.2010;1;72;75;6,737;tt0029992;movie;08 Nov 2005;N/A;N/A;N/A;DOÐRU;;72/100;;
La fin du jour;1939;N/A;11 Sep 1939;99 min;Drama;Julien Duvivier;Julien Duvivier, Charles Spaak;Victor Francen, Michel Simon, Louis Jouvet;"Aged penniless actors are living in a old people's home. They always talk about their past glory or failures. One day Raphael Saint-Clair comes; he has been a famous actor and had a lot of love affairs. Passions come back, and jealousies... A bitter film about aging, failure and the entertainment.";French;France;https://m.media-amazon.com/images/M/MV5BY2ViZjQ4ZmMtN2UwNi00OWFiLTg5MDYtZmYxZDUzZmVjN2Y1XkEyXkFqcGdeQXVyNTI3NTM4MTA@._V1_SX300.jpg;7.08.2010;;N/A;78;872;tt0031309;movie;N/A;N/A;N/A;N/A;DOÐRU;2;;2;
On Borrowed Time;1939;Passed;07 Jul 1939;99 min;Drama, Fantasy;Harold S. Bucquet;Alice D.G. Miller, Frank O'Neill, Claudine West;Lionel Barrymore, Cedric Hardwicke, Beulah Bondi;"Young Pud is orphaned and left in the care of his aged grandparents. The boy and his cantankerous old grandfather become inseparable friends. But Gramps is concerned for his grandson's future and wary of a scheming relative who seeks Pud's custody. One day Mr. Brink--an agent of Death--arrives to take Gramps ""to the land where the woodbine twineth."" Through a bit of trickery, Gramps confines Mr. Brink, and thus Death, to the top of an old apple tree, giving Gramps extra time to resolve issues about Pud's future.";English;United States;https://m.media-amazon.com/images/M/MV5BMTQ1MjA2NDU3N15BMl5BanBnXkFtZTgwNzg1NjM5MjE@._V1_SX300.jpg;7.07.2010;;N/A;77;1,894;tt0031754;movie;18 Nov 1992;N/A;MGM;N/A;DOÐRU;;;;
Before I Hang;1940;Passed;17 Sep 1940;62 min;Crime, Horror, Sci-Fi;Nick Grinde;Robert Hardy Andrews, Karl Brown;Boris Karloff, Evelyn Keyes, Bruce Bennett;"A physician on death row for a mercy killing is allowed to experiment on a serum using a criminals' blood, but secretly tests it on himself. He gets a pardon, but finds out he's become a Jekyll-&amp;-Hyde.";English;United States;https://m.media-amazon.com/images/M/MV5BMWE5MGI3N2YtMjViZC00NzRkLTg3ZWQtNGEwNDk0NDcwNjZkXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg;6.01.2010;;N/A;61;1,176;tt0032245;movie;17 Oct 2006;N/A;N/A;N/A;DOÐRU;;;;
Beyond Tomorrow;1940;Approved;10.May.40;84 min;Drama, Fantasy, Romance;A. Edward Sutherland;Adele Comandini, Mildred Cram;Harry Carey, C. Aubrey Smith, Charles Winninger;Melton, Chadwick and O'Brien, rich but lonely heads of an engineering firm, invite three strangers to dinner on Christmas Eve. Only two show up, James and Jean, they fall in love and become friends with their three benefactors, until the latter are killed in a plane crash and come back to their old home as ghosts. In the coming months, true love encounters some rough spots. Can ghostly O'Brien help the young folks?;English, Russian;United States;https://m.media-amazon.com/images/M/MV5BYWI2MmFmZDItOWZlYi00OWViLTg1ODYtNzBjNjY2ZWMyNTE5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg;6.05.2010;;N/A;65;1,698;tt0032247;movie;29 Jan 2002;N/A;N/A;N/A;DOÐRU;;;;
Flight from Destiny;1941;Approved;08 Feb 1941;75 min;Drama, Film-Noir;Vincent Sherman;Barry Trivers, Anthony Berkeley, Charles Kenyon;Geraldine Fitzgerald, Thomas Mitchell, Jeffrey Lynn;"After philosophy Professor Todhunter is told he has 6 months left to live, he is barred from teaching by his college so there won't be a scandal if he drops dead in class. Discussing a hypothetical man with 6 months to live with a group of friends, Todhunter asks each what he'd do in his last 6 months. One says he'd commit a ""social murder"" kill someone who is not a criminal but without whom society would be better off. The professor obsesses on the idea and actually comes across a situation involving two of his friends where he thinks it would be a good idea to act on his obsession.";English;United States;https://m.media-amazon.com/images/M/MV5BMjFjZjhmMTAtYzQxNi00ODE3LThkZTktYTk1NTA0ZjRmOWNjXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg;6.05.2010;;N/A;65;266;tt0033608;movie;N/A;N/A;N/A;N/A;DOÐRU;;;;
Day of Wrath;1943;Not Rated;24 Apr 1948;110 min;Drama, History;Carl Theodor Dreyer;Carl Theodor Dreyer, Poul Knudsen, Paul La Cour;Thorkild Roose, Lisbeth Movin, Sigrid Neiiendam;In a 17th-century Danish village, an old woman is accused of witchcraft. In the shadow of her flight, capture, confession, and burning at the stake, the young wife of the town's aging pastor falls in love with the pastor's son. Her confession of this illicit affair to her husband brings on her husband's death. At the funeral the pastor's mother denounces the young widow as a witch. Will the widow's lover come to her defense, or has the day of wrath returned?;Danish;Denmark;https://m.media-amazon.com/images/M/MV5BMjViNzJlZTQtMDc3NS00YTk1LWI1YjAtYTIxMTI4ODRmOGVhXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg;8.01.2010;1;N/A;81;9,871;tt0036506;movie;04 Feb 2017;$7,642;N/A;N/A;DOÐRU;1;;1;
